nationality,label
1,Albania
3,Armenia
4,Austria
7,Belgium
8,Bosnia and Herzegovina
10,Croatia
12,Czech Republic
13,Denmark
14,England
15,Montenegro
17,Finland
18,France
19,North Macedonia
20,Georgia
21,Germany
22,Greece
23,Hungary
25,Republic of Ireland
27,Italy
34,Holland
35,Northern Ireland
36,Norway
37,Poland
38,Portugal
39,Romania
40,Russia
42,Scotland
43,Slovakia
44,Slovenia
45,Spain
46,Sweden
47,Switzerland
48,Turkey
49,Ukraine
50,Wales
51,Serbia
52,Argentina
54,Brazil
55,Chile
56,Colombia
57,Ecuador
58,Paraguay
59,Peru
60,Uruguay
61,Venezuela
70,Canada
72,Costa Rica
82,Jamaica
83,Mexico
95,United States
97,Algeria
98,Angola
101,Burkina Faso
103,Cameroon
105,Central African Republic
108,C̫te d'Ivoire
110,Congo DR
111,Egypt
115,Gabon
116,Gambia
117,Ghana
118,Guinea
123,Libya
126,Mali
129,Morocco
130,Mozambique
133,Nigeria
136,Senegal
144,Togo
145,Tunisia
147,Zambia
161,Iran
163,Japan
167,Korea Republic
183,Saudi Arabia
195,Australia
219,Kosovo
