primaryKey,fullNameForSearch,birthdate,gender,height,weight,nationality
165153,Karim Benzema,1987-12-19,M,1.85,81,18
188545,Robert Lewandowski,1988-08-21,M,1.85,81,37
231747,Kylian Mbappe,1998-12-20,M,1.82,73,18
192985,Kevin De Bruyne,1991-06-28,M,1.81,70,7
158023,Lionel Messi,1987-06-24,M,1.69,67,52
209331,Mohamed Salah,1992-06-15,M,1.75,71,111
203376,Virgil van Dijk,1991-07-08,M,1.93,92,34
20801,C. Ronaldo dos Santos Aveiro,1985-02-05,M,1.87,83,38
192119,Thibaut Courtois,1992-05-11,M,1.99,96,7
167495,Manuel Neuer,1986-03-27,M,1.93,93,21
190871,Neymar da Silva Santos Jr.,1992-02-05,M,1.75,68,54
200104,Heung Min Son,1992-07-08,M,1.83,78,167
208722,Sadio Mane,1992-04-10,M,1.74,69,136
212622,Joshua Kimmich,1995-02-08,M,1.77,75,21
200145,Carlos Henrique Venancio Casimiro,1992-02-23,M,1.85,84,54
212831,Alisson Ramses Becker,1992-10-02,M,1.91,91,54
202126,Harry Kane,1993-07-28,M,1.88,89,14
210257,Ederson Santana de Moraes,1993-08-17,M,1.88,86,54
215914,N'Golo Kante,1991-03-29,M,1.68,70,18
200389,Jan Oblak,1993-01-07,M,1.88,87,44
239085,Erling Haaland,2000-07-21,M,1.95,94,36
182521,Toni Kroos,1990-01-04,M,1.83,76,21
207865,Marcos Aoas Correa,1994-05-14,M,1.83,75,54
177003,Luka Modric,1985-09-09,M,1.72,66,10
210514,Joao Pedro Cavaco Cancelo,1994-05-27,M,1.82,74,38
239818,Ruben Santos Gato Alves Dias,1997-05-14,M,1.87,82,38
230621,Gianluigi Donnarumma,1999-02-25,M,1.96,90,27
218667,Bernardo Mota Carvalho e Silva,1994-08-10,M,1.73,64,38
192448,Marc-Andre ter Stegen,1992-04-30,M,1.87,85,21
193041,Keylor Navas,1986-12-15,M,1.85,80,72
209499,Fabio Henrique Tavares,1993-10-23,M,1.88,78,54
189596,Thomas Muller,1989-09-13,M,1.85,76,21
231866,Rodrigo Hernandez Cascante,1996-06-22,M,1.91,82,45
215698,Mike Maignan,1995-07-03,M,1.91,89,18
205452,Antonio Rudiger,1993-03-03,M,1.9,85,21
216267,Andrew Robertson,1994-03-11,M,1.78,64,42
201024,Kalidou Koulibaly,1991-06-20,M,1.87,89,136
228702,Frenkie de Jong,1997-05-12,M,1.8,74,34
199556,Marco Verratti,1992-11-05,M,1.65,60,27
209658,Leon Goretzka,1995-02-06,M,1.89,82,21
231281,Trent Alexander-Arnold,1998-10-07,M,1.8,69,14
167948,Hugo Lloris,1986-12-26,M,1.88,82,18
193080,David De Gea Quintana,1990-11-07,M,1.92,76,45
238794,Vinicius Jose de Oliveira Junior,2000-07-12,M,1.76,73,54
232411,Christopher Nkunku,1997-11-14,M,1.75,73,18
231478,Lautaro Martinez,1997-08-22,M,1.74,72,52
234642,Edouard Mendy,1992-03-01,M,1.97,86,136
211110,Paulo Dybala,1993-11-15,M,1.77,75,52
212218,Aymeric Laporte,1994-05-27,M,1.91,85,45
202652,Raheem Sterling,1994-12-08,M,1.7,69,14
188943,Kevin Trapp,1990-07-08,M,1.89,84,21
204485,Riyad Mahrez,1991-02-21,M,1.79,67,97
192387,Ciro Immobile,1990-02-20,M,1.85,85,27
189509,Thiago Alcantara,1991-04-11,M,1.74,70,45
213345,Kingsley Coman,1996-06-13,M,1.79,75,18
192505,Romelu Lukaku,1993-05-13,M,1.91,94,7
223848,Sergej Milinkovic-Savic,1995-02-27,M,1.91,76,51
164240,Thiago Emiliano da Silva,1984-09-22,M,1.83,79,54
224232,Nicolo Barella,1997-02-07,M,1.72,68,27
212198,Bruno Miguel Borges Fernandes,1994-09-08,M,1.79,69,38
216352,Marcelo Brozovic,1992-11-16,M,1.81,68,10
189513,Daniel Parejo Munoz,1989-04-16,M,1.82,74,45
197445,David Alaba,1992-06-24,M,1.8,78,4
232363,Milan Skriniar,1995-02-11,M,1.88,80,43
186153,Wojciech Szczesny,1990-04-18,M,1.95,90,37
186942,?lkay Gundogan,1990-10-24,M,1.8,80,21
232656,Theo Hernandez,1997-10-06,M,1.84,81,18
177683,Yann Sommer,1988-12-17,M,1.83,79,47
237692,Phil Foden,2000-05-28,M,1.71,69,14
224458,Diogo Jose Teixeira da Silva,1996-12-04,M,1.78,73,38
234236,Patrik Schick,1996-01-24,M,1.91,85,12
195864,Paul Pogba,1993-03-15,M,1.91,84,18
208093,Gerard Moreno Balaguero,1992-04-07,M,1.8,77,45
205498,Luiz Frello Filho Jorge,1991-12-20,M,1.8,68,27
188350,Marco Reus,1989-05-31,M,1.8,71,21
192629,Iago Aspas Juncal,1987-08-01,M,1.76,67,45
188377,Kyle Walker,1990-05-28,M,1.83,83,14
212190,Niklas Sule,1995-09-03,M,1.95,99,21
208574,Filip Kostic,1992-11-01,M,1.84,84,51
251854,Pedro Gonzalez Lopez,2002-11-25,M,1.74,61,45
208830,Jamie Vardy,1987-01-11,M,1.79,74,14
206113,Serge Gnabry,1995-07-14,M,1.76,77,21
235243,Matthijs de Ligt,1999-08-12,M,1.89,89,34
189332,Jordi Alba Ramos,1989-03-21,M,1.7,68,45
202556,Memphis Depay,1994-02-13,M,1.76,78,34
216594,Nabil Fekir,1993-07-18,M,1.73,75,18
189511,Sergio Busquets Burgos,1988-07-16,M,1.89,76,45
185122,Peter Gulacsi,1990-05-06,M,1.91,86,23
188567,Pierre-Emerick Aubameyang,1989-06-18,M,1.87,80,115
208418,Yannick Carrasco,1993-09-04,M,1.85,73,7
224334,Marcos Acuna,1991-10-28,M,1.72,69,52
242444,Joao Felix Sequeira,1999-11-10,M,1.81,70,38
252371,Jude Bellingham,2003-06-29,M,1.86,75,14
222665,Martin Odegaard,1998-12-17,M,1.78,68,36
246430,Dusan Vlahovic,2000-01-28,M,1.9,75,51
199451,Wissam Ben Yedder,1990-08-12,M,1.7,68,18
233064,Mason Mount,1999-01-10,M,1.8,74,14
235212,Achraf Hakimi,1998-11-04,M,1.81,73,129
234378,Declan Rice,1999-01-14,M,1.85,80,14
206517,Jack Grealish,1995-09-10,M,1.8,81,14
241486,Jules Kounde,1998-11-12,M,1.81,75,18
230142,Mikel Oyarzabal Ugarte,1997-04-21,M,1.81,79,45
239053,Federico Valverde,1998-07-22,M,1.82,78,60
226161,Marcos Llorente Moreno,1995-01-30,M,1.84,74,45
230938,Franck Yannick Kessie,1996-12-19,M,1.83,88,108
212616,Rodrigo Javier De Paul,1994-05-24,M,1.8,70,52
241096,Sandro Tonali,2000-05-08,M,1.81,79,27
228251,Lorenzo Pellegrini,1996-06-19,M,1.86,77,27
181458,Ivan Perisic,1989-02-02,M,1.86,80,10
240130,Eder Gabriel Militao,1998-01-18,M,1.86,78,54
190286,Sergio Canales Madrazo,1991-02-16,M,1.76,65,45
235805,Federico Chiesa,1997-10-25,M,1.75,70,27
220814,Lucas Hernandez,1996-02-14,M,1.84,79,18
209989,Thomas Partey,1993-06-13,M,1.85,77,117
238074,Reece James,1999-12-08,M,1.78,87,14
202811,Emiliano Martinez,1992-09-02,M,1.95,88,52
155862,Sergio Ramos Garcia,1986-03-30,M,1.84,82,45
234396,Alphonso Davies,2000-11-02,M,1.85,77,70
183898,Angel Di Maria,1988-02-14,M,1.8,69,52
207410,Mateo Kovacic,1994-05-06,M,1.76,80,10
241084,Luis Diaz,1997-01-13,M,1.8,73,56
176580,Luis Suarez,1987-01-24,M,1.82,86,60
199434,Dusan Tadic,1988-11-20,M,1.81,76,51
201535,Raphael Varane,1993-04-25,M,1.91,81,18
178603,Mats Hummels,1988-12-16,M,1.91,94,21
208128,Hakan Calhanoglu,1994-02-08,M,1.78,76,48
216393,Youri Tielemans,1997-05-07,M,1.76,72,7
232756,Fikayo Tomori,1997-12-19,M,1.85,79,14
192984,Koen Casteels,1992-06-25,M,1.97,86,7
183277,Eden Hazard,1991-01-07,M,1.75,74,7
237383,Alessandro Bastoni,1999-04-13,M,1.9,75,27
184344,Leonardo Bonucci,1987-05-01,M,1.9,85,27
241721,Rafael da Conceicao Leao,1999-06-10,M,1.88,81,38
189575,Iker Muniain Goni,1992-12-19,M,1.7,66,45
222492,Leroy Sane,1996-01-11,M,1.83,80,21
197061,Joel Matip,1991-08-08,M,1.94,90,103
226790,Wilfred Ndidi,1996-12-16,M,1.83,74,133
210935,Domenico Berardi,1994-08-01,M,1.83,72,27
235790,Kai Havertz,1999-06-11,M,1.89,82,21
198176,Stefan de Vrij,1992-02-05,M,1.89,78,34
204963,Daniel Carvajal Ramos,1992-01-11,M,1.73,73,45
233049,Jadon Sancho,2000-03-25,M,1.8,76,14
241852,Moussa Diaby,1999-07-07,M,1.7,68,18
209981,Yassine Bounou,1991-04-05,M,1.92,78,129
186345,Kieran Trippier,1990-09-19,M,1.73,71,14
175943,Dries Mertens,1987-05-06,M,1.69,61,7
198219,Lorenzo Insigne,1991-06-04,M,1.63,59,27
180930,Edin Dzeko,1986-03-17,M,1.93,80,8
162835,Samir Handanovic,1984-07-14,M,1.93,92,44
143076,Alejandro Gomez,1988-02-15,M,1.67,68,52
138956,Giorgio Chiellini,1984-08-14,M,1.87,85,27
204639,Stefan Savic,1991-01-08,M,1.87,81,15
225193,Mikel Merino Zazon,1996-06-22,M,1.89,83,45
214997,Angel Correa,1995-03-09,M,1.71,70,52
225375,Konrad Laimer,1997-05-27,M,1.8,72,4
233419,Raphael Dias Belloli,1996-12-14,M,1.76,68,54
194765,Antoine Griezmann,1991-03-21,M,1.76,73,18
201942,Roberto Firmino Barbosa de Oliveira,1991-10-02,M,1.81,76,54
234153,Carlos Soler Barragan,1997-01-02,M,1.8,76,45
213565,Thomas Lemar,1995-11-12,M,1.71,63,18
193747,Jorge Resurreccion,1992-01-08,M,1.76,77,45
193082,Juan Cuadrado,1988-05-26,M,1.79,72,56
183711,Jordan Henderson,1990-06-17,M,1.82,80,14
242516,Cody Gakpo,1999-05-07,M,1.89,76,34
228618,Ferland Mendy,1995-06-08,M,1.8,73,18
210406,Piotr Zielinski,1994-05-20,M,1.8,75,37
203574,John Stones,1994-05-28,M,1.88,76,14
225850,Presnel Kimpembe,1995-08-13,M,1.89,80,18
230666,Gabriel Fernando de Jesus,1997-04-03,M,1.75,73,54
210315,Raul De Tomas Gomez,1994-10-17,M,1.8,79,45
208670,Hakim Ziyech,1993-03-19,M,1.81,65,129
226271,Fabian Ruiz Pena,1996-04-03,M,1.89,70,45
232293,Victor Osimhen,1998-12-29,M,1.85,78,133
253163,Ronald Araujo,1999-03-07,M,1.92,91,60
220651,Jose Angel Esmoris Tasende,1997-01-04,M,1.71,69,45
224293,Ruben Diogo da Silva Neves,1997-03-13,M,1.8,80,38
213648,Pierre-Emile Hojbjerg,1995-08-05,M,1.87,84,13
220834,Marco Asensio Willemsen,1996-01-21,M,1.82,76,45
210243,Ricardo Barbosa Pereira,1993-10-06,M,1.75,70,38
219693,Diego Carlos Santos Silva,1993-03-15,M,1.85,86,54
152729,Gerard Pique Bernabeu,1987-02-02,M,1.94,85,45
231443,Ousmane Dembele,1997-05-15,M,1.78,67,18
184134,Fernando Reges Mouta,1987-07-25,M,1.83,76,54
230869,Unai Simon Mendibil,1997-06-11,M,1.9,89,45
193698,Oliver Baumann,1990-06-02,M,1.87,82,21
241464,Pau Francisco Torres,1997-01-16,M,1.91,80,45
239580,Gleison Bremer Silva Nascimento,1997-03-18,M,1.88,82,54
146536,Jesus Navas Gonzalez,1985-11-21,M,1.72,60,45
215333,Duvan Zapata,1991-04-01,M,1.89,88,56
232488,Cristian Romero,1998-04-27,M,1.85,79,52
163587,Kasper Schmeichel,1986-11-05,M,1.89,89,13
235073,Gregor Kobel,1997-12-06,M,1.95,88,47
216460,Jose Maria Gimenez,1995-01-20,M,1.85,80,60
190941,Lukas Hradecky,1989-11-24,M,1.92,83,17
198706,Luis Alberto Romero Alconchel,1992-09-28,M,1.83,74,45
168542,David Josue Jimenez Silva,1986-01-08,M,1.73,67,45
208333,Emre Can,1994-01-12,M,1.86,86,21
231969,Ruslan Malinovskyi,1993-05-04,M,1.81,79,49
202648,Sergi Darder Moll,1993-12-22,M,1.8,71,45
201455,Geoffrey Kondogbia,1993-02-15,M,1.88,80,105
226754,Ismael Bennacer,1997-12-01,M,1.75,70,97
212523,Anderson Souza Conceicao,1994-02-01,M,1.9,80,54
233927,Lucas Tolentino Coelho de Lima,1997-08-27,M,1.8,72,54
241637,Aurelien Tchouameni,2000-01-27,M,1.87,81,18
247819,Nico Schlotterbeck,1999-12-01,M,1.91,86,21
253072,Darwin Nunez,1999-06-24,M,1.86,80,60
184200,Marko Arnautovic,1989-04-19,M,1.92,83,4
200610,Kevin Volland,1992-07-30,M,1.79,85,21
198717,Wilfried Zaha,1992-11-10,M,1.8,66,108
226753,Andre Onana,1996-04-02,M,1.9,93,103
184432,Cesar Azpilicueta Tanco,1989-08-28,M,1.78,77,45
204838,Raul Jimenez,1991-05-05,M,1.88,81,83
223697,Robin Gosens,1994-07-05,M,1.83,76,21
222077,Manuel Locatelli,1998-01-08,M,1.85,75,27
246669,Bukayo Saka,2001-09-05,M,1.78,65,14
255475,Antony Matheus dos Santos,2000-02-24,M,1.74,63,54
204935,Jordan Pickford,1994-03-07,M,1.85,77,14
224411,Goncalo Manuel Ganchinho Guedes,1996-11-29,M,1.79,68,38
210411,Otavio Edmilson da Silva Monteiro,1995-02-09,M,1.71,67,38
228941,Andre Miguel Valente da Silva,1995-11-06,M,1.85,84,38
183512,Yuri Berchiche Izeta,1990-02-10,M,1.81,80,45
210035,Alejandro Grimaldo Garcia,1995-09-20,M,1.72,67,45
199482,Anthony Lopes,1990-10-01,M,1.84,81,38
201305,Gabriel Armando de Abreu,1990-11-26,M,1.85,72,54
207862,Matthias Ginter,1994-01-19,M,1.91,86,21
217870,Giovanni Di Lorenzo,1993-08-04,M,1.83,83,27
236401,Noussair Mazraoui,1997-11-14,M,1.83,62,129
200458,Lucas Digne,1993-07-20,M,1.78,74,18
204525,Inigo Martinez Berridi,1991-05-17,M,1.82,77,45
193474,Idrissa Gueye,1989-09-26,M,1.74,66,136
215316,Geronimo Rulli,1992-05-20,M,1.89,84,52
168651,Ivan Rakitic,1988-03-10,M,1.84,78,10
216547,Rafael A. Ferreira Silva,1993-05-17,M,1.72,66,38
241461,Ferran Torres Garcia,2000-02-29,M,1.84,77,45
233096,Denzel Dumfries,1996-04-18,M,1.88,80,34
178005,Rui Pedro dos Santos Patricio,1988-02-15,M,1.9,84,38
202884,Leonardo Spinazzola,1993-03-25,M,1.86,75,27
199110,Luis Muriel,1991-04-16,M,1.79,79,56
200724,Jose Ignacio Fernandez Iglesias,1990-01-18,M,1.8,76,45
212188,Timo Werner,1996-03-06,M,1.8,76,21
233934,Aaron Ramsdale,1998-05-14,M,1.91,77,14
209889,Raphael Guerreiro,1993-12-22,M,1.7,71,38
236276,Arnaut Danjuma,1997-01-31,M,1.78,74,34
231352,Tammy Abraham,1997-10-02,M,1.95,86,14
200260,Steven Berghuis,1991-12-19,M,1.82,75,34
220697,James Maddison,1996-11-23,M,1.75,73,14
211688,Jose Luis Gaya Pena,1995-05-25,M,1.72,66,45
184087,Toby Alderweireld,1989-03-02,M,1.86,81,7
227127,Alejandro Remiro Gargallo,1995-03-24,M,1.92,79,45
164835,?ukasz Fabianski,1985-04-18,M,1.9,83,37
216354,Andrej Kramaric,1991-06-19,M,1.77,73,10
197655,Sebastian Coates,1990-10-07,M,1.96,94,60
256630,Florian Wirtz,2003-05-03,M,1.76,70,21
229984,Ben Chilwell,1996-12-21,M,1.8,77,14
199845,Francesco Acerbi,1988-02-10,M,1.92,88,27
205693,Sebastien Haller,1994-06-22,M,1.9,82,108
179645,Simon Kjær,1989-03-26,M,1.9,86,13
227796,Christian Pulisic,1998-09-18,M,1.77,69,95
223952,David Soria Solis,1993-04-04,M,1.92,85,45
212194,Julian Brandt,1996-05-02,M,1.85,83,21
197781,Francisco Roman Alarcon Suarez,1992-04-21,M,1.76,79,45
177388,Dimitri Payet,1987-03-29,M,1.75,77,18
244260,Daniel Olmo Carvajal,1998-05-07,M,1.79,72,45
189242,Philippe Coutinho Correia,1992-06-12,M,1.72,68,54
213661,Andreas Christensen,1996-04-10,M,1.88,81,13
213331,Jonathan Tah,1996-02-11,M,1.95,98,21
226221,Aritz Elustondo,1994-03-28,M,1.8,71,45
41236,Zlatan Ibrahimovic,1981-10-03,M,1.95,102,46
190460,Christian Eriksen,1992-02-14,M,1.81,76,13
178509,Olivier Giroud,1986-09-30,M,1.92,93,18
204638,Willi Orban,1992-11-03,M,1.86,87,23
157481,Raul Albiol Tortajada,1985-09-04,M,1.9,82,45
205632,Lucas Ocampos,1994-07-11,M,1.88,84,52
239301,Lisandro Martinez,1998-01-18,M,1.78,77,52
238067,Nicolo Zaniolo,1999-07-02,M,1.9,75,27
214097,Benjamin Bourigeaud,1994-01-14,M,1.78,68,18
251517,Josko Gvardiol,2002-01-23,M,1.85,80,10
214047,Mateus Uribe,1991-03-21,M,1.83,77,56
236791,Antonin Barak,1994-12-03,M,1.9,86,12
193165,Jesus Corona,1993-01-06,M,1.73,66,83
227236,Andre-Franck Zambo Anguissa,1995-11-16,M,1.84,78,103
229261,Denis Zakaria,1996-11-20,M,1.91,81,47
247394,Dejan Kulusevski,2000-04-25,M,1.86,75,46
236403,Evan Ndicka,1999-08-20,M,1.92,82,18
173731,Gareth Bale,1989-07-16,M,1.85,82,50
216320,Seko Fofana,1995-05-07,M,1.85,74,108
231943,Richarlison de Andrade,1997-05-10,M,1.81,71,54
198141,Marc Bartra Aregall,1991-01-15,M,1.84,73,45
219683,Corentin Tolisso,1994-08-03,M,1.81,81,18
172871,Jan Vertonghen,1987-04-24,M,1.91,89,7
216201,Inaki Williams Arthuer,1994-06-15,M,1.86,80,45
229237,Manuel Akanji,1995-07-19,M,1.87,91,47
223273,Mario Pasalic,1995-02-09,M,1.88,82,10
193283,Thomas Delaney,1991-09-03,M,1.82,79,13
226226,Giovani Lo Celso,1996-04-09,M,1.77,68,52
240950,Pedro Antonio Pereira Goncalves,1998-06-28,M,1.73,77,38
223959,Lucas Torreira,1996-02-11,M,1.66,60,60
212242,Robert Andrich,1994-09-22,M,1.87,83,21
236480,Yves Bissouma,1996-08-30,M,1.82,80,126
211748,Kerem Demirbay,1993-07-03,M,1.83,71,21
192883,Henrikh Mkhitaryan,1989-01-21,M,1.77,75,3
231677,Marcus Rashford,1997-10-31,M,1.86,70,14
247851,Bruno Guimaraes Moura,1997-11-16,M,1.82,74,54
188152,Oscar dos Santos Emboaba,1991-09-09,M,1.79,70,54
178562,Ever Banega,1988-06-29,M,1.76,78,52
235173,Ibrahim Sangare,1997-12-02,M,1.91,77,108
247263,Edmond Tapsoba,1999-02-02,M,1.94,85,101
213516,Ricardo Jorge da Luz Horta,1994-09-15,M,1.73,63,38
210324,Jonas Hofmann,1992-07-14,M,1.76,73,21
224081,Kalvin Phillips,1995-12-02,M,1.78,72,14
243576,Pedro Antonio Porro Sauceda,1999-09-13,M,1.73,69,45
205686,Teji Savanier,1991-12-22,M,1.72,69,18
240243,Matheus Santos Carneiro Da Cunha,1999-05-27,M,1.84,76,54
120533,Kepler Laveran Lima Ferreira,1983-02-26,M,1.87,79,38
216435,Stanislav Lobotka,1994-11-25,M,1.7,64,43
220971,Naby Keita,1995-02-10,M,1.72,64,118
209519,Gaetan Laborde,1994-05-03,M,1.81,78,18
198950,Pablo Sarabia Garcia,1992-05-11,M,1.74,70,45
229391,Joao Maria Palhinha Goncalves,1995-07-09,M,1.9,85,38
236792,Tomas Soucek,1995-02-27,M,1.92,86,12
229558,Dayot Upamecano,1998-10-27,M,1.86,90,18
193301,Alexandre Lacazette,1991-05-28,M,1.75,73,18
208618,Lucas Vazquez Iglesias,1991-07-01,M,1.73,70,45
178086,Antonio Adan Garrido,1987-05-13,M,1.9,94,45
221992,Hirving Lozano,1995-07-30,M,1.75,70,83
193105,Alphonse Areola,1993-02-27,M,1.95,94,18
180206,Miralem Pjanic,1990-04-02,M,1.78,72,8
236786,Martin Terrier,1997-03-04,M,1.84,73,18
205569,James Ward-Prowse,1994-11-01,M,1.73,66,14
